dimx,dimy,dimz,buffer_size,packet_size_min,packet_size_max,routing_type,selection_strategy,traffic_type,injection_rate,steady_state_temp_L0,steady_state_temp_L1,router_avg_temp_L0,router_avg_temp_L1,core_avg_temp_L0,core_avg_temp_L1,mem_avg_temp_L0,mem_avg_temp_L1,total_area,avg_power,avg_cores_power,avg_routers_power,avg_power_per_router,layer_area,area_per_core
15,2,2,10,4,8,oe_3d,thermal,random,0.08,95.82699666666667,94.47291999999999,26.98731333333333,26.77022,26.13847,26.013036666666668,25.757,25.670490000000004,1.42968e+08 (um^2),9.87937e-08 (J/cycle),7.70651e-08 (J/cycle),2.17286e-08 (J/cycle),3.62143e-10 (J/cycle),7.14839e+07 (um^2),4.69523e+06 (um^2)	Percent (per tile)   
15,2,2,10,4,8,oe_3d,thermal,random,0.09,95.70960333333333,94.36049999999999,26.98076,26.767563333333335,26.13538333333333,26.011059999999997,25.756753333333336,25.670406666666665,1.42968e+08 (um^2),9.85565e-08 (J/cycle),7.69064e-08 (J/cycle),2.16502e-08 (J/cycle),3.60836e-10 (J/cycle),7.14839e+07 (um^2),4.69523e+06 (um^2)	Percent (per tile)   
15,2,2,10,4,8,oe_3d,thermal,random,0.10,95.65896666666667,94.30334333333333,26.984816666666667,26.75235,26.13574999999999,26.008253333333325,25.756446666666665,25.669463333333333,1.42968e+08 (um^2),9.84159e-08 (J/cycle),7.68378e-08 (J/cycle),2.15781e-08 (J/cycle),3.59635e-10 (J/cycle),7.14839e+07 (um^2),4.69523e+06 (um^2)	Percent (per tile)   
15,3,2,4,4,8,oe_3d,thermal,random,0.01,104.07222222222222,102.8801311111111,26.946306666666665,26.71625111111111,26.190564444444444,26.049128888888884,25.84215111111111,25.737513333333336,2.12494e+08 (um^2),1.37015e-07 (J/cycle),1.09617e-07 (J/cycle),2.73983e-08 (J/cycle),3.04425e-10 (J/cycle),1.06247e+08 (um^2),4.69523e+06 (um^2)	Percent (per tile)   
15,3,2,4,4,8,oe_3d,thermal,random,0.02,102.9803311111111,101.80925777777777,26.89924888888888,26.670815555555556,26.154731111111104,26.01599333333333,25.829255555555555,25.726317777777776,2.12494e+08 (um^2),1.34061e-07 (J/cycle),1.07648e-07 (J/cycle),2.64124e-08 (J/cycle),2.93471e-10 (J/cycle),1.06247e+08 (um^2),4.69523e+06 (um^2)	Percent (per tile)   
15,3,2,4,4,8,oe_3d,thermal,random,0.03,102.73914444444442,101.57965333333333,26.879542222222224,26.668095555555567,26.14818888888889,26.01213555555556,25.827235555555554,25.725120000000004,2.12494e+08 (um^2),1.33617e-07 (J/cycle),1.07367e-07 (J/cycle),2.625e-08 (J/cycle),2.91666e-10 (J/cycle),1.06247e+08 (um^2),4.69523e+06 (um^2)	Percent (per tile)   
15,3,2,4,4,8,oe_3d,thermal,random,0.04,103.03992000000001,101.86648444444447,26.903580000000005,26.672311111111124,26.156024444444437,26.016368888888888,25.829262222222223,25.726242222222222,2.12494e+08 (um^2),1.34042e-07 (J/cycle),1.07628e-07 (J/cycle),2.64137e-08 (J/cycle),2.93486e-10 (J/cycle),1.06247e+08 (um^2),4.69523e+06 (um^2)	Percent (per tile)   
15,3,2,4,4,8,oe_3d,thermal,random,0.05,102.75107333333332,101.58255777777777,26.889059999999997,26.655715555555556,26.149871111111107,26.010744444444445,25.82742888888889,25.724622222222216,2.12494e+08 (um^2),1.33619e-07 (J/cycle),1.07354e-07 (J/cycle),2.62652e-08 (J/cycle),2.91835e-10 (J/cycle),1.06247e+08 (um^2),4.69523e+06 (um^2)	Percent (per tile)   
15,3,2,4,4,8,oe_3d,thermal,random,0.06,102.9721488888889,101.80147555555557,26.89744666666667,26.66970666666667,26.154242222222223,26.016022222222222,25.82892444444445,25.72621333333333,2.12494e+08 (um^2),1.34017e-07 (J/cycle),1.07611e-07 (J/cycle),2.64058e-08 (J/cycle),2.93398e-10 (J/cycle),1.06247e+08 (um^2),4.69523e+06 (um^2)	Percent (per tile)   
15,3,2,4,4,8,oe_3d,thermal,random,0.07,102.78742444444445,101.62092,26.888277777777773,26.65959777777778,26.15034,26.01243111111111,25.827702222222225,25.725175555555555,2.12494e+08 (um^2),1.33724e-07 (J/cycle),1.07435e-07 (J/cycle),2.62893e-08 (J/cycle),2.92103e-10 (J/cycle),1.06247e+08 (um^2),4.69523e+06 (um^2)	Percent (per tile)   
15,3,2,4,4,8,oe_3d,thermal,random,0.08,102.86904000000003,101.70337555555554,26.889277777777775,26.66927333333333,26.151933333333332,26.014328888888883,25.828366666666664,25.72576222222223,2.12494e+08 (um^2),1.33738e-07 (J/cycle),1.07444e-07 (J/cycle),2.62936e-08 (J/cycle),2.92151e-10 (J/cycle),1.06247e+08 (um^2),4.69523e+06 (um^2)	Percent (per tile)   
15,3,2,4,4,8,oe_3d,thermal,random,0.09,102.90812666666665,101.73537777777777,26.899355555555555,26.663831111111115,26.152482222222215,26.013355555555552,25.82843777777777,25.725513333333343,2.12494e+08 (um^2),1.3383e-07 (J/cycle),1.07473e-07 (J/cycle),2.63572e-08 (J/cycle),2.92858e-10 (J/cycle),1.06247e+08 (um^2),4.69523e+06 (um^2)	Percent (per tile)   
15,3,2,4,4,8,oe_3d,thermal,random,0.10,102.85843999999999,101.69223333333335,26.889971111111116,26.66873333333333,26.150804444444443,26.01376000000001,25.827806666666664,25.72534222222222,2.12494e+08 (um^2),1.3376e-07 (J/cycle),1.07448e-07 (J/cycle),2.63118e-08 (J/cycle),2.92354e-10 (J/cycle),1.06247e+08 (um^2),4.69523e+06 (um^2)	Percent (per tile)   
15,3,2,6,4,8,oe_3d,thermal,random,0.01,104.76275555555554,103.55177777777777,26.976744444444442,26.745164444444445,26.18944222222222,26.047933333333326,25.835871111111107,25.732539999999997,2.13147e+08 (um^2),1.38054e-07 (J/cycle),1.10095e-07 (J/cycle),2.79595e-08 (J/cycle),3.10661e-10 (J/cycle),1.06573e+08 (um^2),4.69523e+06 (um^2)	Percent (per tile)   
15,3,2,6,4,8,oe_3d,thermal,random,0.02,110.59115555555556,109.2272888888889,27.343593333333335,27.06587777777778,26.297588888888892,26.14258222222222,25.866922222222218,25.758875555555562,2.13147e+08 (um^2),1.49452e-07 (J/cycle),1.16693e-07 (J/cycle),3.2759e-08 (J/cycle),3.63989e-10 (J/cycle),1.06573e+08 (um^2),4.69523e+06 (um^2)	Percent (per tile)   
15,3,2,6,4,8,oe_3d,thermal,random,0.03,106.84197777777776,105.57126666666667,27.14974666666666,26.899962222222225,26.21896666666666,26.07418444444445,25.84770888888889,25.742406666666668,2.13147e+08 (um^2),1.41585e-07 (J/cycle),1.11642e-07 (J/cycle),2.9943e-08 (J/cycle),3.327e-10 (J/cycle),1.06573e+08 (um^2),4.69523e+06 (um^2)	Percent (per tile)   
15,3,2,6,4,8,oe_3d,thermal,random,0.04,106.86124444444447,105.58468888888888,27.15772,26.897117777777773,26.21942888888888,26.071684444444443,25.847384444444444,25.74157555555556,2.13147e+08 (um^2),1.41386e-07 (J/cycle),1.11506e-07 (J/cycle),2.98796e-08 (J/cycle),3.31996e-10 (J/cycle),1.06573e+08 (um^2),4.69523e+06 (um^2)	Percent (per tile)   
